course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-2938,CourseTalk,Magic in the Middle Ages,Coursera,University of Barcelona,Arts and Humanities,History,30,Introductory,5,2.5,2,3,TRUE,0,0,1,0,372,1,4,2,2,4,4,0,4.96E-06,4.93E-05,0.500039419,4,0,45403
CourseTalk-2939,CourseTalk,Building a Data Science Team,Coursera,Johns Hopkins University,Data Science,Data Analysis,25,NA,1,5,3,3,TRUE,0,0,1,0,2247,1,4,2,2,4,1612,0,1.52E-05,4.93E-05,0.500039419,4,0,50770
CourseTalk-2941,CourseTalk,Data Management and Visualization,Coursera,Wesleyan University,Data Science,Data Analysis,30,NA,4,4.5,3,3,TRUE,0,0,1,0,887,1,4,1,2,3,2516.5,0,1.53E-05,4.93E-05,0.555594974,4,0,50313
CourseTalk-2942,CourseTalk,Gamification,Coursera,University of Pennsylvania,Computer Science,Design and Product,51,NA,6,6,0,3,TRUE,0,0,1,0,816,1,4,2,2,4,2865.416667,0,1.53E-05,4.93E-05,0.500039419,4,0,50017
CourseTalk-2943,CourseTalk,Introduction to the Arctic: Climate,Coursera,University of Alberta,Physical Science and Engineering,Environmental Science and Sustainability,NA,NA,4,NA,3,3,TRUE,0,0,1,0,501,1,5,1,2,3,5929.666667,9.93E-18,1.51E-05,4.93E-05,0.555594974,5,0,51320
CourseTalk-2944,CourseTalk,From the Big Bang to Dark Energy,Coursera,The University of Tokyo,Physical Science and Engineering,Physics and Astronomy,30,Introductory,4,5.5,1,3,TRUE,0,0,1,1,483.5,2,4,2,3,5,9580.25,0,1.54E-05,4.93E-05,0.280039419,8,0,50361
CourseTalk-2945,CourseTalk,Data Visualization and Communication with Tableau,Coursera,Duke University,Data Science,Data Analysis,30,NA,5,7,3,3,TRUE,0,0,1,0,2690,1,4,1,1,2,4267,0,1.54E-05,4.93E-05,0.500039419,4,0,50659
CourseTalk-2946,CourseTalk,"HTML, CSS and JavaScript",Coursera,The Hong Kong University of Science and Technology,Computer Science,Mobile and Web Development,30,NA,3,3.5,3,3,TRUE,0,1,0,1,785,1,3,1,1,2,0,0,1.54E-05,4.93E-05,1.000039419,3,2,50477
CourseTalk-2946,CourseTalk,"HTML, CSS and JavaScript",Coursera,The Hong Kong University of Science and Technology,Computer Science,Mobile and Web Development,30,NA,3,3.5,3,4,TRUE,1,0,0,0,2563,1,2,0,0,0,0,4.92E-17,1.16E-05,0,0,2,NA,50477
CourseTalk-2947,CourseTalk,Influencing People,Coursera,University of Michigan,Business,Business Essentials,30,NA,4,NA,3,3,TRUE,0,0,1,0,547,1,4,1,1,2,753,0,1.54E-05,4.93E-05,0.500039419,4,0,50487
CourseTalk-2948,CourseTalk,Understanding 9/11: Why Did al Qai¡¯da Attack America?,Coursera,Duke University,Arts and Humanities,History,NA,NA,NA,3.5,1,1,TRUE,0.5,0,0.5,0.5,1741.5,2,3,1,1,2,53.1120915,0.005074777,0.000117275,3.05E-05,0.500069323,6,0,3277
CourseTalk-2949,CourseTalk,Introduction to Marketing,Coursera,University of Pennsylvania,Business,Marketing,45,NA,5,5,1,4,TRUE,0.5,0,0.5,0,2685,2,3,1,1,2,0,3.36E-17,1.16E-05,7.48E-05,1.000219353,6,NA,50578
